name,short_description,region,subjects,IRP,link,access,collection
Eurostat,"EU-level statistics and macro-economic indicators (economy, population, employment...)",EU,"macro-economy;population",14,https://ec.europa.eu/eurostat/web/main/data/database,Public,"API / open"
ISTAT,"Italian national statistics office (demography, employment, prices, national accounts...)",Italy,"macro-economy;population",14,https://esploradati.istat.it/databrowser/,Public,"API / open"
Banca d'Italia,"Data from the Italian central bank (monetary, financial, balance of payments, banking system)",Italy,"finance;banking;macro-economy;credit",14,https://infostat.bancaditalia.it/inquiry/home?spyglass/taxo:CUBESET=&ITEMSELEZ=&OPEN=true/&ep:LC=EN&COMM=BANKITALIA&ENV=LIVE&CTX=DIFF&IDX=1&/view:CUBEIDS=&graphMode=,Public,"API / open"
EDW,"Internal Enterprise Data Warehouse integrating core operational and financial systems",EU,"credit;operations;finance",14,https://eurodw.eu/?lang=it,Private,"Database"
EIA,"U.S. Energy Information Administration – official energy data (generation, consumption, fuel, prices).",US,"energy;electricity;gas",14,https://www.eia.gov/opendata/,Public,"API / free unlimited key"
FERC,"U.S. Federal Energy Regulatory Commission – market, transmission, and financial filings for utilities.",US,"energy;electricity;regulation",14,https://data.ferc.gov,Public,"Bulk download / manual"
NERC,"North American Electric Reliability Corporation – reliability standards, disturbances, and system performance data.",US,"energy;electricity",14,https://www.nerc.com/,Public,"Reports (unstructured) / Direct Download"
EPA,"U.S. Environmental Protection Agency – environmental and emissions data relevant to power sector and fuels.",US,"emissions;energy",14,https://www.epa.gov/data,Public,"API / free unlimited key"
PUDL,"Public Utility Data Liberation – cleaned, imputed, directly usable datasets derived mainly from EIA, FERC, EPA and SEC.",US,"energy;electricity;emissions;ready-to-use",14,https://catalystcoop-pudl.readthedocs.io/en/latest/data_access.html,Public,"Open S3 bucket / Zenodo direct download / Kaggle (colab) notebook"
BRC,"Blockchain Research center - data on demand, (cryptocurrencies, financial news, BTC futures...).",World,"blockchain;cryptocurrencies;finance",14,https://data.blockchain-research-center.com/,Private - accessible to IRPs,"Email Request"
Binance,"Binance's free API allows collection of historical OHLC data for most pairs at high frequency",World,"cryptocurrencies;finance",14,https://developers.binance.com/docs/binance-spot-api-docs/README,Public,"API / free unlimited key"
Thegraph,"TheGraph allows free access to curated datastreams on the blockchain - including on-chain data on popular DEFI protocols (uniswap,aave...)",World,"blockchain;cryptocurrencies;credit",14,https://thegraph.com/explorer,Public,"API / free limited key - requires base wallet"
FRED,"Federal Reserve Economic Data - macro-economic time series data on US market",US,"macro-economy;finance;population",14,https://fred.stlouisfed.org,Public,"API / free unlimited key"
Dune,"Dune allows access to on-chain data including multiple pre-made queries about various DeFi projects",World,"blockchain;cryptocurrencies;finance",14,https://dune.com/discover/content/favorites,Public,"API / free limited key"
